UPC,System ID,Category Name,Price,QOH,Product ID,URL,Category,Photo,Brand Name,Name,Brand,Short Name,Pets,Size,buy_12_get_1_free
8901709014973,210000069897,Dog > Treats > Bully Sticks & Natural Chews > Bully Sticks,8.69,40,10100385_1,https://www.littlepetexpress.com/products/honey-im-home-natural-honey-coated-buffalo-bully-sticks-dog-chews-12-2/?case_option=False,Bully Sticks,['downloaded_images/10100385/10100385_1/12_inch__Bully_Sticks.png'],Honey I'm Home,"Honey I'm Home Natural Honey Coated Buffalo Bully Sticks Dog Chews, 12-in, 1 count",Honey I'm Home,Natural Honey Coated Buffalo Bully Sticks,Dogs,12-in,No
8901709014546,210000069906,Dog > Treats > Bully Sticks & Natural Chews > Natural Chews,2.99,0,10100388_1,https://www.littlepetexpress.com/products/honey-im-home-natural-honey-coated-buffalo-liver-wafer-dog-treats-3/?case_option=False,Natural Chews,['downloaded_images/10100388/10100388_1/Liver_Wafer_Bulk.png'],Honey I'm Home,"Honey I'm Home Natural Honey Coated Buffalo Liver Wafer Dog Treats, 1 count",Honey I'm Home,Natural Honey Coated Buffalo Liver Wafer,Dogs,1 count,No
186011001233,210000007491,Cat > Food > Freeze-Dried Food,54.79,2,10100806_1,https://www.littlepetexpress.com/products/stella-chewys-chick-chick-chicken-dinner-grain-free-freeze-dried-cat-food-3/?case_option=False,Freeze-Dried Food,"['downloaded_images/10100806/10100806_1/image_7491_joRcBpx.jpg', 'downloaded_images/10100806/10100806_1/image_7491_eTd21R3.jpg', 'downloaded_images/10100806/10100806_1/image_7491_Sp80tmp.jpg', 'downloaded_images/10100806/10100806_1/image_7491_BssJPfL.jpg']",Stella & Chewy's,"Stella & Chewy's Chick Chick Chicken Dinner Morsels Grain-Free Freeze-Dried Cat Food, 18-oz",Stella & Chewy's,Chick Chick Chicken Dinner Freeze-Dried Food,Cats,18-oz,No
870856000185,210000056512,Dog > Cleaning & Potty > Poop Bags & Scoopers > Poop Bags,8.99,1,10100200,https://www.littlepetexpress.com/products/the-little-pet-shoppe/earth-rated-poopbags-refill-pack-unscented-120-count/,Poop Bags,"['downloaded_images/10100200/870856000185-1_iWAs2R9.jpg', 'downloaded_images/10100200/870856000185-3_qY8xPgr.jpg', 'downloaded_images/10100200/870856000185-2_KjOMIex.jpg']",Earth Rated,"Earth Rated Poop Bags Refill Pack, Unscented, 120 Count",Earth Rated,"Poop Bags Refill Pack, Unscented, 120 Count",Dogs,,No
811939021048,210000052556,Cat > Food > Wet Food,3.69,17,10100596_1,https://www.littlepetexpress.com/products/nulo-freestyle-turkey-chicken-recipe-grain-free-canned-cat-kitten-food/?case_option=False,Wet Food,['downloaded_images/10100596/10100596_1/811939021048.jpg'],Nulo,"Nulo Cat Freestyle Pate Turkey & Chicken Recipe Grain-Free Canned Cat & Kitten Food, 12.5-oz",Nulo,Freestyle Pate Turkey & Chicken Recipe Grain-Free,Cats,12.5-oz,Yes
852874005113,210000069930,Dog > Treats > Frozen Treat,3.99,0,10100848_1,https://www.littlepetexpress.com/products/the-bear-the-rat-frozen-yogurt-with-banana-peanut-butter-frozen-dog-treat-2/?case_option=False,Frozen Treat,"['downloaded_images/10100848/10100848_1/Jhf3WRy_E5MhsDY.png', 'downloaded_images/10100848/10100848_1/mRWSXc8_f691erT.jpg']",The Bear & The Rat,"The Bear & The Rat Banana & Peanut Butter Frozen Yogurt Dog Treats, 3.5-oz, Single Cup",The Bear & The Rat,Banana & Peanut Butter Frozen Yogurt,Dogs,"3.5-oz, Single Cup",No
878408008986,210000050523,Cat > Food > Wet Food,1.49,1,10100052_1,https://www.littlepetexpress.com/products/bff-tuna-beef-baby-cakes-recipe-in-gravy-grain-free-cat-food-pouches-3-oz-case-of-12-2/?case_option=False,Wet Food,"['downloaded_images/10100052/10100052_1/image_50523_PcLibG4.jpg', 'downloaded_images/10100052/10100052_1/image_50523_TWLN18Y.jpg', 'downloaded_images/10100052/10100052_1/image_50523.jpg']",Weruva,"BFF OMG GRAVY Tuna & Beef Baby Cakes Dinner in Gravy Wet Cat Food Pouch, 3-oz",Weruva,BFF OMG GRAVY Tuna & Beef Baby Cakes Dinner in Gravy,Cats,3-oz,Yes
878408008993,210000050527,Cat > Food > Wet Food,1.59,36,10100056_1,https://www.littlepetexpress.com/products/bff-tuna-salmon-sweet-cheeks-recipe-in-gravy-grain-free-cat-food-pouches-3-oz-case-of-12-2/?case_option=False,Wet Food,"['downloaded_images/10100056/10100056_1/image_50527_e67pJdr.jpg', 'downloaded_images/10100056/10100056_1/image_50527_QLcPGoz.jpg', 'downloaded_images/10100056/10100056_1/image_50527.jpg']",Weruva,"BFF OMG GRAVY Tuna & Salmon Sweet Cheeks Dinner in Gravy Wet Cat Food Pouch, 3-oz",Weruva,BFF OMG GRAVY Tuna & Salmon Sweet Cheeks Dinner in Gravy,Cats,3-oz,Yes
700603510035,210000021872,Dog > Bowls & Feeders,26.99,0,10100661_1,https://www.littlepetexpress.com/products/outward-hound-fun-feeder-interactive-dog-bowl-purple-2/?case_option=False,Bowls & Feeders,['downloaded_images/10100661/10100661_1/image_21871_nBm3HJz.jpg'],Outward Hound,"Outward Hound Fun Feeder Interactive Dog Bowl, Purple, Large Purple",Outward Hound,"Fun Feeder Interactive Bowl, Purple",Dogs,Large Purple,No
784815104299,210000052593,Dog > Food > Wet Food,3.69,21,10100473_1,https://www.littlepetexpress.com/products/lotus-wholesome-beef-asparagus-stew-grain-free-canned-dog-food-4/?case_option=False,Wet Food,"['downloaded_images/10100473/10100473_1/image_52593_GoGDcYT.jpg', 'downloaded_images/10100473/10100473_1/image_52593.jpg', 'downloaded_images/10100473/10100473_1/image_52593_2NuTQKW.jpg']",Lotus,"Lotus Beef Stew Grain-Free Wet Dog Food Can, 5.3-oz",Lotus,Beef Stew Grain-Free,Dogs,5.3-oz,Yes
888641130504,210000050547,Cat > Food > Wet Food,1.89,90,10100304_1,https://www.littlepetexpress.com/products/fussie-cat-premium-tuna-with-chicken-formula-in-aspic-grain-free-canned-cat-food-282-oz-case-of-24-2/?case_option=False,Wet Food,"['downloaded_images/10100304/10100304_1/image_50547_3Bh2jmq.jpg', 'downloaded_images/10100304/10100304_1/image_50547_G0JVons.jpg', 'downloaded_images/10100304/10100304_1/image_50547.jpg']",Fussie Cat,"Fussie Cat Premium Tuna with Chicken Formula in Aspic Grain-Free Canned Cat Food, 2.82-oz",Fussie Cat,Premium Tuna with Chicken Formula in Aspic Grain-Free,Cats,2.82-oz,Yes
858833002292,210000048515,Dog > Food > Frozen Food,65.99,1,10100718_2,https://www.littlepetexpress.com/products/raw-bistro-free-range-bison-entree-grain-free-raw-frozen-dog-food-3/?case_option=False,Frozen Food,['downloaded_images/10100718/10100718_2/image_48515.jpg'],Raw Bistro,"Raw Bistro Free-Range Bison Entree Grain-Free Raw Frozen Dog Food, 6-lb",Raw Bistro,Free-Range Bison Entree Grain-Free Raw,Dogs,6-lb,No
878408008245,210000050582,Cat > Food > Wet Food,1.79,5,10100113_1,https://www.littlepetexpress.com/products/weruva-cats-in-the-kitchen-pumpkin-jack-splash-tuna-in-pumpkin-soup-recipe-grain-free-cat-food-pouches-3-oz-case-of-8-2/?case_option=False,Wet Food,"['downloaded_images/10100113/10100113_1/image_50582_judb80E.jpg', 'downloaded_images/10100113/10100113_1/image_50582_pAbtnPb.jpg', 'downloaded_images/10100113/10100113_1/image_50582.jpg']",Weruva,"Cats in the Kitchen Pumpkin Jack Splash Tuna in Pumpkin Soup Wet Cat Food Pouch, 3-oz",Weruva,Cats in the Kitchen Pumpkin Jack Splash Tuna in Pumpkin Soup,Cats,3-oz,Yes
736902409558,210000019865,Dog > Cleaning & Potty > Candles & Air Fresheners > Car & Air Fresheners,3.29,9,10100665,https://www.littlepetexpress.com/products/the-little-pet-shoppe/pet-house-evergreen-forest-car-freshener-1/,Car & Air Fresheners,['downloaded_images/10100665/image_19865.jpg'],Pet House,"Pet House Year Round Car Fresheners, Evergreen Forest",Pet House,"Year Round Car Fresheners, Evergreen Forest",Dogs,,No
855089008245,210000058536,Dog > Treats > Air-Dried & Dehydrated Treats,16.99,3,10100858_1,https://www.littlepetexpress.com/products/the-honest-kitchen-instant-bone-broth-beef-tumeric/?case_option=False,"Broth, Air-Dried & Dehydrated Food Toppings, Air-Dried & Dehydrated Treats","['downloaded_images/10100858/10100858_1/image_58779_0Bf7zxh.jpg', 'downloaded_images/10100858/10100858_1/image_58779_UDqWulD.jpg']",The Honest Kitchen,"The Honest Kitchen Daily Boosters Instant Beef Bone Broth with Tumeric for Dogs, 3.6-oz",The Honest Kitchen,Daily Boosters Instant Beef Bone Broth with Tumeric,Dogs,3.6-oz,No
854524005450,210000050601,Dog > Food > Wet Food,3.29,2,10100907_1,https://www.littlepetexpress.com/products/victor-grain-free-beef-vegetables-entree-in-gravy-canned-dog-food-132-oz-case-of-12-2/?case_option=False,Wet Food,['downloaded_images/10100907/10100907_1/2d4b2tTs.png'],Victor,"Victor Grain-Free Beef & Vegetables Entree in Gravy Canned Dog Food, 13.2-oz",Victor,Grain-Free Beef & Vegetables Entree in Gravy,Dogs,13.2-oz,Yes
