System ID,UPC,Name,Category Name,Product ID,URL,Category,Images,Brand,Short Name,Pets,Size,buy_12_get_1_free,Discount,Limit,Buy,Get
210000000190,796289000724,"Animal Essentials Seasonal Allergy Herbal Formula Dog & Cat Supplement, 2-oz bottle",Dog > Vitamins & Supplements > Allergy & Immune System,10100015_1,https://www.littlepetexpress.com/products/animal-essentials-seasonal-allergy-herbal-formula-dog-cat-supplement-1/?case_option=False,Allergy & Immune System,['downloaded_images/10100015/10100015_1/image_190_Yz6MSu6.jpg'],Animal Essentials,Seasonal Allergy Herbal Formula,Dogs & Cats,2-oz bottle,No,5,,,
210000028856,784815101922,"Lotus Regular Bites Oven-Baked Chicken & Brown Rice Senior Dry Dog Food, 10-lb",Dog > Food > Dry Food,10100477_1,https://www.littlepetexpress.com/products/lotus-wholesome-senior-recipe-dry-dog-food-2/?case_option=False,Dry Food,"['downloaded_images/10100477/10100477_1/image_28856_XltSJoK.jpg', 'downloaded_images/10100477/10100477_1/image_28856.jpg']",Lotus,Regular Bites Oven-Baked Chicken & Brown Rice Senior,Dogs,10-lb,No,5,1,,
210000055606,796289009222,"Animal Essentials Milk Thistle Extract, 2-oz",Dog > Vitamins & Supplements,10100014_2,https://www.littlepetexpress.com/products/animal-essentials-milk-thistle-extract-3/?case_option=False,Vitamins & Supplements,['downloaded_images/10100014/10100014_2/image_55629.jpg'],Animal Essentials,Milk Thistle Extract,Dogs,2-oz,No,5,,,
210000083822,888641135301,"Essence LIR Landfowl Recipe Dry Dog Food, 4-lb",Dog > Food > Dry Food,10100205_1,https://www.littlepetexpress.com/products/Essence-LIR-Landfowl-Recipe-Dry-Dog-Food-4-lb/?case_option=False,Dry Food,"['downloaded_images/10100205/10100205_1/image_76572_m3RClhN.jpg', 'downloaded_images/10100205/10100205_1/image_76572_1vJE6kg.jpg', 'downloaded_images/10100205/10100205_1/image_76572_V8OrtOO.jpg', 'downloaded_images/10100205/10100205_1/image_76572_bBaDTnC.jpg', 'downloaded_images/10100205/10100205_1/image_76572_yYcWbYy.jpg', 'downloaded_images/10100205/10100205_1/image_76572_0cyDpyj.jpg']",Essence Pet Foods,Essence LIR Landfowl Recipe,Dogs,4-lb,No,5,,,
210000068889,784815108297,"Lotus Oven-Baked Chicken Grain-Free Dry Cat Food, 5-lb",Cat > Food > Dry Food,10100475_2,https://www.littlepetexpress.com/products/lotus-chicken-recipe-all-life-stages-grain-free-oven-baked-dry-cat-food-3/?case_option=False,Dry Food,"['downloaded_images/10100475/10100475_2/image_59147_XcA5joX.jpg', 'downloaded_images/10100475/10100475_2/image_59147.jpg']",Lotus,Oven-Baked Chicken Grain-Free,Cats,5-lb,No,5,1,,
210000139723,857253003117,"Earth Animal Herbal Topical Remedies Clean Eyes Eye Wash for Dogs & Cats, 4-oz Bottle",Dog > Grooming > Eye Care,10100180,https://www.littlepetexpress.com/products/the-little-pet-shoppe/earth-animal-clean-eyes-herbal-eye-wash-for-dogs-cats-4-oz-bottle/,"Eye Care, Grooming","['downloaded_images/10100180/image_137455_rtAO5GK.jpg', 'downloaded_images/10100180/image_137455_Kkr3VN9.jpg', 'downloaded_images/10100180/image_137455_8SDaMyd.jpg']",Earth Animal,Herbal Topical Remedies Clean Eyes Eye Wash,Dogs,4-oz,No,4,,,
210000058536,855089008245,"The Honest Kitchen Daily Boosters Instant Beef Bone Broth with Tumeric for Dogs, 3.6-oz",Dog > Treats > Air-Dried & Dehydrated Treats,10100858_1,https://www.littlepetexpress.com/products/the-honest-kitchen-instant-bone-broth-beef-tumeric/?case_option=False,"Broth, Air-Dried & Dehydrated Food Toppings, Air-Dried & Dehydrated Treats","['downloaded_images/10100858/10100858_1/image_58779_0Bf7zxh.jpg', 'downloaded_images/10100858/10100858_1/image_58779_UDqWulD.jpg']",The Honest Kitchen,Daily Boosters Instant Beef Bone Broth with Tumeric,Dogs,3.6-oz,No,3,5,,
210000058537,855089008252,"The Honest Kitchen Daily Boosters Instant Turkey Bone Broth with Turmeric for Dogs, 3.6-oz",Dog > Treats > Air-Dried & Dehydrated Treats,10100859,https://www.littlepetexpress.com/products/the-little-pet-shoppe/the-honest-kitchen-instant-bone-broth-turkey-turmeric/,"Broth, Air-Dried & Dehydrated Food Toppings, Air-Dried & Dehydrated Treats","['downloaded_images/10100859/image_58780_hrSyaOb.jpg', 'downloaded_images/10100859/image_58780_cntsttq.jpg']",The Honest Kitchen,Daily Boosters Instant Turkey Bone Broth with Turmeric,Dogs,3.6-oz,No,3,5,,
210000058539,855089008276,"The Honest Kitchen Perfect Form Herbal Digestive Dog & Cat Supplement, 3.2-oz",Dog > Vitamins & Supplements > Urinary & Kidney Health,10100863,https://www.littlepetexpress.com/products/the-little-pet-shoppe/the-honest-kitchen-perfect-form-herbal-digestive-supplement/,Urinary & Kidney Health,"['downloaded_images/10100863/image_58782_dvx0afY.jpg', 'downloaded_images/10100863/image_58782_NLefD9S.jpg']",The Honest Kitchen,Perfect Form Herbal Digestive,Dogs & Cats,3.2-oz,No,3,5,,
210000048514,858833002254,"Raw Bistro Free-Range Bison Entree Grain-Free Raw Frozen Dog Food, 3-lb",Dog > Food > Frozen Food,10100718_1,https://www.littlepetexpress.com/products/raw-bistro-free-range-bison-entree-grain-free-raw-frozen-dog-food-2/?case_option=False,Frozen Food,['downloaded_images/10100718/10100718_1/image_48514.jpg'],Raw Bistro,Free-Range Bison Entree Grain-Free Raw,Dogs,3-lb,No,3,1,,
